fileName,publication,pubId,title,date,x,y
35.txt,Homeland Illumination,17,Title Not Given,"May 15, 1998, 12:00:00 AM",-31.12129783630371,28.514389038085938
627.txt,Homeland Illumination,17,Title Not Given,"May 15, 1998, 12:00:00 AM",20.84636688232422,-18.211153030395508
79.txt,News Online Today,3,"ELODIS, KRONOS: WILL THE GOVERNMENT RESPOND IN TIME?","May 15, 1998, 12:00:00 AM",-31.16935920715332,27.067188262939453
16.txt,News Online Today,3,ELODIS PUBLIC HEALTH FACT SHEET,"May 16, 1998, 12:00:00 AM",-5.32982873916626,0.5079731345176697
617.txt,All News Today,16,ELODIS PUBLIC HEALTH FACT SHEET,"May 16, 1998, 12:00:00 AM",20.467082977294922,-18.069866180419922
222.txt,The Orb,18,DOCUMENTARY CARD OF PUBLIC HEALTH Of ELODIS,"May 17, 1998, 12:00:00 AM",20.227643966674805,-16.521591186523438
264.txt,Daily Pegasus,20,"ELODIS, KRONOS:  THE GOVERNMENT WILL RESPOND IN TIME? Part three","May 17, 1998, 12:00:00 AM",-31.766651153564453,30.209421157836914
492.txt,The Wrap,19,THE SHEET OF THE PUBLIC HEALTH ELODIS,"May 17, 1998, 12:00:00 AM",20.092084884643555,-15.588187217712402
568.txt,Daily Pegasus,20,LEAF OF THE FACT OF THE PUBLIC HEALTH OF ELODIS,"May 17, 1998, 12:00:00 AM",19.521963119506836,-18.941761016845703
622.txt,The Orb,18,"ELODIS, KRONOS: WILL THE GOVERNMENT ANSWER IN TIME? Part three","May 17, 1998, 12:00:00 AM",-31.494396209716797,29.752037048339844
814.txt,The Wrap,19,"ELODIS, KRONOS: WILL THE GOVERNMENT ANSWER ON TIME? Part three","May 17, 1998, 12:00:00 AM",-30.47585678100586,29.504234313964844
293.txt,Homeland Illumination,17,Title Not Given,"Aug 19, 1998, 12:00:00 AM",27.86618995666504,-22.229917526245117
263.txt,News Online Today,3,TEN-YEAR OLD ELODIS GIRL DIES OF POISONING,"Aug 20, 1998, 12:00:00 AM",7.949344158172607,4.65693473815918
275.txt,The Orb,18,FROM TEN YEARS - OLD WOMEN MATRICES OF GIRL Of ELODIS OF POISONING,"Aug 20, 1998, 12:00:00 AM",27.567861557006836,-22.822101593017578
409.txt,The Wrap,19,OF TEN YEARS - THE OLD MATRICES OF THE LITTLE GIRL ELODIS OF POISONING,"Aug 21, 1998, 12:00:00 AM",28.112363815307617,-22.92772102355957
791.txt,Daily Pegasus,20,OF TEN YEARS - OLD DICES OF THE GIRL OF ELODIS OF THE ENVENENAMIENTO,"Aug 21, 1998, 12:00:00 AM",26.698198318481445,-23.34645652770996
630.txt,Kronos Star,11,f Health Investigates Contamination Complaints,"Nov 9, 1998, 12:00:00 AM",9.911595344543457,9.686450004577637
166.txt,The Truth,14,The ministry of health examines the complaints of pollution,"Nov 10, 1998, 12:00:00 AM",11.500570297241211,8.242120742797852
330.txt,The Guide,13,The ministry of the health investigates complaints of the contamination,"Nov 10, 1998, 12:00:00 AM",10.40865421295166,8.62675952911377
467.txt,News Online Today,3,Ministry of Health Investigates Contamination Complaints,"Nov 10, 1998, 12:00:00 AM",2.64212703704834,-0.2930128872394562
5.txt,Worldwise,15,The ministry for health studies complaints of contamination,"Nov 10, 1998, 12:00:00 AM",10.191801071166992,8.405713081359863
305.txt,The World,6,WELLNESS FOR ALL (WFA) BLASTS GASTECH AND KRONOS GOVT,"Nov 13, 1998, 12:00:00 AM",15.170740127563477,0.7851479649543762
206.txt,The Tulip,9,WELLNESS FOR ALL DEFLAGRATIONS GASTECH AND KRONOS GOVT (OF WFA),"Nov 14, 1998, 12:00:00 AM",16.328453063964844,0.10152257978916168
316.txt,The General Post,10,HEALTH FOR ALL (WFA) BURSTS GASTECH AND KRONOS GOVT,"Nov 14, 1998, 12:00:00 AM",13.722016334533691,0.27196696400642395
399.txt,Homeland Illumination,17,Title Not Given,"Nov 14, 1998, 12:00:00 AM",10.737884521484375,29.118192672729492
574.txt,News Online Today,3,WELLNESS FOR ALL (WFA) BLASTS GASTECH AND KRONOS GOVT,"Nov 14, 1998, 12:00:00 AM",1.5579352378845215,0.6997197270393372
694.txt,Who What News,8,WELLNESS FOR ALL (WFA) BLASTS GASTECH AND KRONOS GOVT,"Nov 14, 1998, 12:00:00 AM",15.182207107543945,0.7271825075149536
408.txt,The Wrap,19,THE REPRESENTATIVES POK COME MINISTER KRONOS VAN GEZONDHEID SAMEN,"Nov 15, 1998, 12:00:00 AM",10.451322555541992,29.81035804748535
420.txt,All News Today,16,POK REPRESENTATIVES MEET WITH KRONOS MINISTER OF HEALTH,"Nov 15, 1998, 12:00:00 AM",-7.644247055053711,30.803573608398438
619.txt,The Abila Post,22,Title Not Given,"Nov 15, 1998, 12:00:00 AM",9.185678482055664,66.03617095947266
68.txt,News Online Today,3,WELLNESS FOR ALL ISSUES STATEMENT ON ELODIS,"Nov 15, 1998, 12:00:00 AM",1.1510032415390015,-0.565470814704895
779.txt,News Online Today,3,POK REPRESENTATIVES MEET WITH KRONOS MINISTER OF HEALTH,"Nov 15, 1998, 12:00:00 AM",2.059274911880493,-1.4534275531768799
823.txt,The Light of Truth,7,HEALTH FOR ALL BREATHS (WFA) GASTECH AND GOVERNMENT OF KRONOS,"Nov 15, 1998, 12:00:00 AM",15.259820938110352,2.1488089561462402
211.txt,The Orb,18,TO MEET REPRESENTATIVES OF POK THE MINISTER OF KRONOS OF HEALTH,"Nov 16, 1998, 12:00:00 AM",11.465620040893555,28.6734619140625
401.txt,Central Bulletin,21,WELLNESS FOR ALL ISSUES STATEMENT ON ELODIS,"Nov 16, 1998, 12:00:00 AM",9.375353813171387,66.1069564819336
628.txt,Daily Pegasus,20,MEETING OF THE REPRESENTATIVES OF POK WITH THE MINISTER OF KRONOS OF THE HEALTH,"Nov 16, 1998, 12:00:00 AM",11.562525749206543,28.51688003540039
442.txt,The Explainer,25,HEALTH FOR ALL THE DECLARATION OF EDITIONS ON ELODIS,"Nov 17, 1998, 12:00:00 AM",8.519314765930176,66.94935607910156
519.txt,Athena Speaks,23,HEALTH FOR ALL THE REPORT/RATIO OF QUESTIONS ABOUT ELODIS,"Nov 17, 1998, 12:00:00 AM",9.449405670166016,66.86237335205078
605.txt,News Desk,24,WELLNESS FOR ALREADY DECLARATION OF QUESTIONS CONCERNING ELODIS,"Nov 17, 1998, 12:00:00 AM",9.920985221862793,67.58565521240234
517.txt,The World,6,GASTECH REPORTS RECORD EARNINGS,"Feb 18, 1999, 12:00:00 AM",38.4100456237793,-11.692399978637695
449.txt,Who What News,8,GASTECH REPORTS RECORD EARNINGS,"Feb 19, 1999, 12:00:00 AM",38.08479309082031,-11.699081420898438
702.txt,News Online Today,3,GASTECH REPORTS RECORD EARNINGS,"Feb 19, 1999, 12:00:00 AM",37.0754280090332,-11.711181640625
284.txt,The General Post,10,GAINS OF THE FILE OF GASTECH INFORMATION,"Feb 20, 1999, 12:00:00 AM",24.55662727355957,51.541038513183594
319.txt,The Tulip,9,GASTECH THE INCOMES OF THE REPORT OF REPORTS,"Feb 20, 1999, 12:00:00 AM",24.900402069091797,52.51728057861328
706.txt,The Light of Truth,7,INCOMES OF DISC OF REPORTS/RATIOS OF GASTECH,"Feb 20, 1999, 12:00:00 AM",24.513336181640625,51.41724395751953
488.txt,Kronos Star,11,"espola Champions Added Taxes on Oil, Gas Development","Jul 3, 1999, 12:00:00 AM",-10.236918449401855,-25.823850631713867
327.txt,The Guide,13,"Minister Nespola Champions Added Tax Oil , Gas Development","Jul 4, 1999, 12:00:00 AM",-10.23724365234375,-25.826648712158203
640.txt,News Online Today,3,"Minister Nespola Champions Added Taxes on Oil, Gas Development","Jul 4, 1999, 12:00:00 AM",1.543095350265503,-2.614475965499878
724.txt,The Truth,14,"The added taxes of Nespola of the minister Kampioenen on oil, development of the gas","Jul 4, 1999, 12:00:00 AM",0.7310745716094971,-1.7590607404708862
821.txt,International News,12,"Minister Nespola Champions Added Taxes on Oil, Gas Development","Jul 4, 1999, 12:00:00 AM",0.11103536933660507,-4.1263837814331055
659.txt,Worldwise,15,"Additional taxes by champions of Nespola of minister on oil, formation of gas","Jul 5, 1999, 12:00:00 AM",1.2426505088806152,-5.033830165863037
468.txt,Homeland Illumination,17,Title Not Given,"Jul 7, 1999, 12:00:00 AM",-9.710770606994629,30.401458740234375
267.txt,News Online Today,3,MINISTER OF HEALTH TO PROPOSE SOLUTION TO TOWN POISONING,"Jul 8, 1999, 12:00:00 AM",-0.7994605898857117,-3.2023158073425293
482.txt,Daily Pegasus,20,MINISTER OF THE HEALTH TO PROPOSE THE SOLUTION TO THE ENVENENAMIENTO OF THE CITY,"Jul 8, 1999, 12:00:00 AM",-10.804670333862305,29.417509078979492
612.txt,All News Today,16,MINISTER OF HEALTH TO PROPOSE SOLUTION TO TOWN POISONING,"Jul 8, 1999, 12:00:00 AM",-8.838825225830078,30.567508697509766
248.txt,The Orb,18,MINISTER FOR HEALTH TO PROPOSE THE SOLUTION WITH THE POISONING OF CITY,"Jul 9, 1999, 12:00:00 AM",-10.70269775390625,29.93052864074707
740.txt,The Wrap,19,MINISTER VAN GEZONDHEID OM OPLOSSING AAN DE VERGIFTIGING VAN DE STAD VOOR TE STELLEN,"Jul 9, 1999, 12:00:00 AM",-11.757146835327148,30.68305778503418
443.txt,International Times,0,Global disasters drain charity coffers,"Nov 14, 1999, 12:00:00 AM",21.36026382446289,-52.69685745239258
